A
ISIS
ITMN
ITUB
ITW
IVR
IVZ
JBL
JBLU
JCI
JCP
JDSU
JNJ
JNPR
JNS
JOY
JOYG
JPM
JWN
K
KBH
KBR
KEY
KFT
KIM
KKD
KKR
KLAC
KMB
KMI
KMP
KMX
KO
KOG
KORS
KR
KRFT
KRFTV
KSS
KSU
L
LBTYA
LCC
LEG
LEN
LF
LGF
LIFE
LINE
LINTA
LKQ
LLTC
LLY
LM
LMT
LNC
LNG
LNKD
LO
LOW
LPS
LPX
LRCX
LSE
LSI
LTD
LUK
LULU
LUV
LVLT
LVS
LXK
LXP
LYB
LYV
M
MAC
MAKO
MAR
MAS
MAT
MBI
MBT
MCD
MCHP
MCK
MCO
MDLZ
MDR
MDRX
MDT
MDVN
MET
MFA
MFC
MGM
MHFI
MHP
MJN
MLNX
MM
MMC
MMM
MNST
MO
MON
MOS
MPC
MPEL
MPW
MRK
MRO
MRVL
MS
MSFT
MSI
MT
MTGE
MTOR
MTW
MU
MUR
MWA
MWV
MXIM
MYGN
MYL
NAT
NAV
NBL
NBR
NCR
NDAQ
NE
NEE
NEM
NFLX
NFX
NGD
NI
NIHD
NKE
NLSN
NLY
NMR
NNN
NOC
NOV
NOW
NRF
NRG
NRZ
NSC
NSM
NTAP
NTI
NTRS
NTSP
NU
NUAN
NUE
NVDA
NVE
NVS
NWL
NWSA
NXPI
NYB
NYCB
NYMT
NYT
NYX
O
OAS
OC
OCN
OHI
OI
OIS
OKE
OMC
OMX
ONNN
ONXX
OPK
ORCL
OREX
ORI
OVTI
OWW
OXY
OZM
P
PAA
PANL
PANW
PAY
PAYX
PBCT
PBF
PBI
PBR-A
PCAR
PCG
PCS
PDLI
PDM
PDS
PEG
PEP
PETM
PF
PFE
PFG
PG
PGEM
PGR
PH
PHH
PHM
PIR
PKI
PLCM
PLD
PM
PMCS
PMT
PNC
PNR
POM
POT
PPL
PRU
PSE
PSEC
PSX
PTEN
PWE
PWER
PWR
PX
PXD
Q
QCOM
QCOR
QEP
QIHU
QLGC
QLIK
RAI
RAX
RCL
RDC
RDN
RDS-B
REGN
RF
RGC
RHI
RHP
RHT
RIG
RIO
RJF
RKUS
RLGY
RMD
ROSE
ROST
ROVI
RRC
RRD
RSG
RSO
RTN
RVBD
RWT
RYL
S
SAI
SAN
SAP
SBAC
SBGI
SBH
SBS
SBUX
SCCO
SCHW
SCI
SCSS
SDRL
SE
SEE
SFD
SFI
SFY
SHO
SINA
SKM
SKS
SLB
SLCA
SLM
SLW
SMFG
SNDK
SNE
SNH
SNTS
SNY
SO
SOLF
SOLR
SPF
SPG
SPLK
SPLS
SPN
SPPI
SPR
SPWR
SRC
SRE
SSRI
ST
STD
STI
STJ
STLD
STM
STO
STRZA
STT
STWD
STX
STZ
SU
SUNE
SUSQ
SWC
SWFT
SWHC
SWK
SWKS
SWN
SWY
SYK
SYMC
SYY
T
TAP
TCB
TCK
TDC
TE
TEF
TEL
TER
TEVA
TEX
TGT
THC
THRX
TIBX
TIF
TIVO
TJX
TLM
TMO
TMUS
TOL
TOT
TPX
TQNT
TRI
TRIP
TRMB
TRN
TROW
TRV
TS
TSLA
TSM
TSN
TSO
TSS
TTM
TTWO
TV
TWC
TWO
TWTC
TWX
TXN
TXT
TYC
UA
UAL
UBS
UDR
ULTA
UN
UNH
UNM
UNP
UPL
UPS
URBN
URI
USB
USG
UTX
V
VALE
VCLK
VIA-B
VIAB
VIP
VIV
VLO
VLY
VMW
VNTV
VOYA
VR
VRSN
VRTX
VRX
VSH
VTR
VVUS
VZ
WAG
WCRX
WDAY
WDC
WEC
WFC
WFM
WFMI
WFT
WIN
WLL
WLP
WLT
WM
WMB
WMC
WMT
WNR
WPX
WSM
WU
WWAV
WY
WYN
WYNN
X
XCO
XEL
XL
XLNX
XLS
XOM
XRX
YELP
YHOO
YNDX
YOKU
YUM
ZION
ZMH
ZNGA
ZQK
ZTS
